1,Day
2,Day
3,Day
4,Day
5,Day
6,Day
7,Day
8,Day
9,Night
10,Day
11,Day
12,Fog
13,Day
14,Fog
15,Day
16,Day
17,Fog
18,Day
19,Night
20,Fog
21,Fog
22,Night
23,Fog
24,Fog
25,Day
26,Day
27,Day
28,Fog
29,Day
30,Day
31,Day
32,Day
33,Day
34,Night
35,Day
36,Day
37,Day
38,Day
39,Day
40,Fog
41,Day
42,Day
43,Night
44,Day
45,Fog
46,Day
47,Night
48,Day
49,Day
50,Night
51,Fog
52,Day
53,Night
54,Day
55,Fog
56,Day
57,Day
58,Day
59,Day
60,Day
61,Fog
62,Fog
63,Day
64,Day
65,Day
66,Day
67,Day
68,Night
69,Fog
70,Night
71,Day
72,Fog
73,Day
74,Day
75,Night
76,Day
77,Day
78,Day
79,Day
80,Day
81,Fog
82,Fog
83,Day
84,Day
85,Night
86,Night
87,Night
88,Day
89,Day
90,Day
91,Day
92,Night
93,Fog
94,Day
95,Night
96,Day
97,Fog
98,Day
99,Day
100,Night
